'sample interval','V4'
'0.004 sec','mV'
0,0.455
1,0.460
2,0.450
3,0.425
4,0.435
5,0.455
6,0.490
7,0.500
8,0.485
9,0.500
10,0.495
11,0.500
12,0.500
13,0.515
14,0.530
15,0.560
16,0.570
17,0.560
18,0.535
19,0.535
20,0.535
21,0.525
22,0.510
23,0.500
24,0.500
25,0.490
26,0.485
27,0.465
28,0.460
29,0.450
30,0.445
31,0.440
32,0.435
33,0.440
34,0.445
35,0.475
36,0.495
37,0.500
38,0.500
39,0.480
40,0.450
41,0.430
42,0.430
43,0.445
44,0.495
45,0.630
46,0.880
47,1.290
48,1.770
49,2.190
50,2.415
51,2.320
52,1.985
53,1.535
54,1.085
55,0.750
56,0.580
57,0.520
58,0.525
59,0.525
60,0.515
61,0.490
62,0.475
63,0.465
64,0.450
65,0.455
66,0.455
67,0.465
68,0.480
69,0.475
70,0.490
71,0.475
72,0.455
73,0.460
74,0.465
75,0.475
76,0.475
77,0.460
78,0.485
79,0.485
80,0.485
81,0.485
82,0.495
83,0.495
84,0.495
85,0.495
86,0.495
87,0.490
88,0.485
89,0.500
90,0.515
91,0.530
92,0.515
93,0.540
94,0.555
95,0.570
96,0.580
97,0.595
98,0.575
99,0.585
100,0.600
101,0.620
102,0.650
103,0.665
104,0.695
105,0.710
106,0.725
107,0.730
108,0.730
109,0.750
110,0.760
111,0.765
112,0.755
113,0.760
114,0.770
115,0.775
116,0.770
117,0.760
118,0.755
119,0.735
120,0.710
121,0.685
122,0.660
123,0.620
124,0.600
125,0.570
126,0.555
127,0.540
128,0.530
129,0.520
130,0.505
131,0.500
132,0.500
133,0.495
134,0.485
135,0.495
136,0.485
137,0.485
138,0.490
139,0.465
140,0.485
141,0.485
142,0.490
143,0.480
144,0.475
145,0.475
146,0.490
147,0.475
148,0.460
149,0.455
150,0.465
151,0.475
152,0.485
153,0.480
154,0.480
155,0.485
156,0.490
157,0.490
158,0.480
159,0.465
160,0.450
161,0.445
162,0.450
163,0.450
164,0.475
165,0.465
166,0.455
167,0.450
168,0.450
169,0.475
170,0.465
171,0.480
172,0.485
173,0.475
174,0.490
175,0.480
176,0.450
177,0.465
178,0.475
179,0.485
180,0.485
181,0.465
182,0.485
183,0.475
184,0.475
185,0.465
186,0.465
187,0.475
188,0.475
189,0.475
190,0.475
191,0.455
192,0.450
193,0.440
194,0.435
195,0.430
196,0.450
197,0.455
198,0.465
199,0.465
200,0.450
201,0.445
202,0.445
203,0.450
204,0.455
205,0.450
206,0.460
207,0.455
208,0.455
209,0.465
210,0.465
211,0.475
212,0.485
213,0.490
214,0.485
215,0.475
216,0.475
217,0.455
218,0.465
219,0.465
220,0.475
221,0.465
222,0.455
223,0.440
224,0.455
225,0.475
226,0.510
227,0.530
228,0.535
229,0.540
230,0.525
231,0.500
232,0.500
233,0.525
234,0.560
235,0.570
236,0.560
237,0.540
238,0.535
239,0.540
240,0.540
241,0.530
242,0.525
243,0.515
244,0.495
245,0.485
246,0.465
247,0.455
248,0.460
249,0.450
250,0.455
251,0.455
252,0.465
253,0.475
254,0.475
255,0.450
256,0.440
257,0.450
258,0.455
259,0.480
260,0.495
261,0.495
262,0.500
263,0.555
264,0.670
265,0.965
266,1.360
267,1.850
268,2.260
269,2.410
270,2.250
271,1.835
272,1.370
273,0.935
274,0.685
275,0.585
276,0.560
277,0.555
278,0.545
279,0.525
280,0.495
281,0.485
282,0.480
283,0.485
284,0.495
285,0.485
286,0.465
287,0.475
288,0.480
289,0.495
290,0.500
291,0.510
292,0.510
293,0.525
294,0.515
295,0.500
296,0.485
297,0.455
298,0.475
299,0.475
300,0.485
301,0.495
302,0.500
303,0.520
304,0.535
305,0.540
306,0.530
307,0.525
308,0.525
309,0.525
310,0.530
311,0.540
312,0.540
313,0.560
314,0.565
315,0.580
316,0.580
317,0.605
318,0.610
319,0.620
320,0.645
321,0.660
322,0.680
323,0.690
324,0.705
325,0.715
326,0.735
327,0.760
328,0.770
329,0.770
330,0.775
331,0.790
332,0.790
333,0.785
334,0.770
335,0.750
336,0.735
337,0.710
338,0.695
339,0.680
340,0.655
341,0.625
342,0.605
343,0.610
344,0.600
345,0.580
346,0.555
347,0.560
348,0.555
349,0.535
350,0.525
351,0.505
352,0.495
353,0.495
354,0.460
355,0.490
356,0.500
357,0.515
358,0.510
359,0.495
360,0.495
361,0.490
362,0.510
363,0.510
364,0.505
365,0.510
366,0.515
367,0.500
368,0.490
369,0.485
370,0.490
371,0.485
372,0.480
373,0.475
374,0.455
375,0.450
376,0.455
377,0.475
378,0.490
379,0.495
380,0.495
381,0.495
382,0.495
383,0.475
384,0.455
385,0.455
386,0.475
387,0.475
388,0.480
389,0.495
390,0.495
391,0.495
392,0.515
393,0.515
394,0.515
395,0.500
396,0.475
397,0.485
398,0.495
399,0.505
400,0.505
401,0.485
402,0.500
403,0.495
404,0.490
405,0.465
406,0.465
407,0.480
408,0.480
409,0.475
410,0.475
411,0.455
412,0.480
413,0.495
414,0.490
415,0.485
416,0.485
417,0.485
418,0.480
419,0.490
420,0.490
421,0.495
422,0.495
423,0.495
424,0.495
425,0.475
426,0.475
427,0.495
428,0.485
429,0.510
430,0.495
431,0.495
432,0.485
433,0.490
434,0.485
435,0.485
436,0.495
437,0.500
438,0.515
439,0.495
440,0.475
441,0.465
442,0.475
443,0.455
444,0.480
445,0.490
446,0.495
447,0.495
448,0.495
449,0.500
450,0.500
451,0.500
452,0.500
453,0.490
454,0.500
455,0.505
456,0.515
457,0.515
458,0.510
459,0.525
460,0.525
461,0.540
462,0.545
463,0.565
464,0.580
465,0.580
466,0.595
467,0.600
468,0.600
469,0.580
470,0.580
471,0.585
472,0.580
473,0.560
474,0.540
475,0.525
476,0.515
477,0.510
478,0.515
479,0.495
480,0.495
481,0.495
482,0.485
483,0.490
484,0.485
485,0.460
486,0.490
487,0.485
488,0.475
489,0.465
490,0.455
491,0.485
492,0.495
493,0.500
494,0.495
495,0.505
496,0.605
497,0.835
498,1.230
499,1.675
500,2.110
501,2.380
502,2.405
503,2.140
504,1.715
505,1.250
506,0.860
507,0.655
508,0.570
509,0.555
510,0.545
511,0.555
512,0.560
513,0.540
514,0.530
515,0.520
516,0.500
517,0.490
518,0.495
519,0.495
520,0.495
521,0.495
522,0.500
523,0.505
524,0.515
525,0.505
526,0.495
527,0.485
528,0.495
529,0.500
530,0.510
531,0.510
532,0.515
533,0.540
534,0.555
535,0.565
536,0.560
537,0.535
538,0.525
539,0.525
540,0.535
541,0.560
542,0.575
543,0.575
544,0.560
545,0.555
546,0.570
547,0.580
548,0.570
549,0.570
550,0.580
551,0.620
552,0.645
553,0.670
554,0.685
555,0.690
556,0.710
557,0.725
558,0.735
559,0.750
560,0.755
561,0.780
562,0.790
563,0.810
564,0.815
565,0.830
566,0.830
567,0.820
568,0.795
569,0.765
570,0.725
571,0.710
572,0.690
573,0.695
574,0.685
575,0.645
576,0.620
577,0.605
578,0.595
579,0.565
580,0.570
581,0.555
582,0.555
583,0.540
584,0.540
585,0.560
586,0.545
587,0.535
588,0.525
589,0.510
590,0.515
591,0.525
592,0.535
593,0.530
594,0.530
595,0.505
596,0.500
597,0.500
598,0.510
599,0.515
600,0.520
601,0.515
602,0.500
603,0.495
604,0.495
605,0.500
606,0.505
607,0.520
608,0.515
609,0.510
610,0.510
611,0.515
612,0.515
613,0.515
614,0.515
615,0.525
616,0.510
617,0.525
618,0.525
619,0.515
620,0.500
621,0.475
622,0.495
623,0.500
624,0.505
625,0.510
626,0.510
627,0.515
628,0.520
629,0.515
630,0.515
631,0.520
632,0.525
633,0.520
634,0.525
635,0.515
636,0.515
637,0.515
638,0.510
639,0.515
640,0.515
641,0.530
642,0.545
643,0.555
644,0.540
645,0.535
646,0.525
647,0.510
648,0.485
649,0.475
650,0.465
651,0.455
652,0.480
653,0.490
654,0.495
655,0.495
656,0.495
657,0.495
658,0.485
659,0.490
660,0.495
661,0.500
662,0.500
663,0.485
664,0.500
665,0.495
666,0.495
667,0.495
668,0.500
669,0.500
670,0.500
671,0.495
672,0.495
673,0.490
674,0.500
675,0.515
676,0.535
677,0.555
678,0.535
679,0.510
680,0.495
681,0.475
682,0.465
683,0.485
684,0.495
685,0.510
686,0.515
687,0.500
688,0.485
689,0.475
690,0.465
691,0.490
692,0.485
693,0.480
694,0.460
695,0.465
696,0.480
697,0.500
698,0.525
699,0.525
700,0.515
701,0.495
702,0.495
703,0.500
704,0.515
705,0.510
706,0.525
707,0.520
708,0.525
709,0.525
710,0.520
711,0.560
712,0.590
713,0.595
714,0.600
715,0.610
716,0.615
717,0.625
718,0.615
719,0.575
720,0.535
721,0.530
722,0.530
723,0.535
724,0.515
725,0.510
726,0.515
727,0.515
728,0.505
729,0.495
730,0.485
731,0.490
732,0.485
733,0.495
734,0.500
735,0.525
736,0.535
737,0.530
738,0.500
739,0.485
740,0.475
741,0.495
742,0.515
743,0.495
744,0.445
745,0.425
746,0.450
747,0.535
748,0.810
749,1.200
750,1.700
751,2.175
752,2.450
753,2.405
754,2.095
755,1.645
756,1.175
757,0.815
758,0.625
759,0.570
760,0.570
761,0.560
762,0.540
763,0.535
764,0.535
765,0.535
766,0.525
767,0.525
768,0.515
769,0.480
770,0.435
771,0.430
772,0.455
773,0.465
774,0.460
775,0.465
776,0.475
777,0.485
778,0.495
779,0.460
780,0.485
781,0.475
782,0.485
783,0.500
784,0.535
785,0.535
786,0.515
787,0.500
788,0.495
789,0.510
790,0.510
791,0.510
792,0.515
793,0.500
794,0.500
795,0.530
796,0.540
797,0.560
798,0.570
799,0.590
800,0.600
801,0.615
802,0.630
803,0.650
804,0.655
805,0.665
806,0.680
807,0.695
808,0.715
809,0.735
810,0.745
811,0.750
812,0.755
813,0.775
814,0.805
815,0.825
816,0.835
817,0.830
818,0.810
819,0.775
820,0.730
821,0.695
822,0.680
823,0.665
824,0.650
825,0.640
826,0.620
827,0.595
828,0.580
829,0.565
830,0.555
831,0.540
832,0.535
833,0.515
834,0.520
835,0.515
836,0.500
837,0.510
838,0.495
839,0.495
840,0.485
841,0.460
842,0.485
843,0.495
844,0.495
845,0.495
846,0.490
847,0.515
848,0.515
849,0.520
850,0.490
851,0.465
852,0.450
853,0.450
854,0.445
855,0.450
856,0.465
857,0.465
858,0.460
859,0.475
860,0.475
861,0.465
862,0.465
863,0.465
864,0.475
865,0.465
866,0.465
867,0.465
868,0.475
869,0.480
870,0.490
871,0.480
872,0.465
873,0.455
874,0.465
875,0.475
876,0.475
877,0.465
878,0.450
879,0.455
880,0.475
881,0.485
882,0.495
883,0.485
884,0.510
885,0.515
886,0.495
887,0.450
888,0.430
889,0.415
890,0.415
891,0.420
892,0.415
893,0.405
894,0.415
895,0.415
896,0.430
897,0.435
898,0.445
899,0.445
900,0.455
901,0.455
902,0.450
903,0.440
904,0.435
905,0.435
906,0.440
907,0.450
908,0.485
909,0.515
910,0.515
911,0.480
912,0.410
913,0.365
914,0.370
915,0.400
916,0.410
917,0.415
918,0.430
919,0.425
920,0.450
921,0.450
922,0.440
923,0.440
924,0.440
925,0.425
926,0.440
927,0.435
928,0.440
929,0.440
930,0.430
931,0.450
932,0.450
933,0.450
934,0.440
935,0.435
936,0.450
937,0.445
938,0.455
939,0.480
940,0.475
941,0.455
942,0.455
943,0.455
944,0.450
945,0.445
946,0.440
947,0.430
948,0.435
949,0.430
950,0.440
951,0.450
952,0.455
953,0.465
954,0.495
955,0.495
956,0.485
957,0.455
958,0.430
959,0.420
960,0.445
961,0.460
962,0.490
963,0.515
964,0.520
965,0.530
966,0.540
967,0.535
968,0.570
969,0.555
970,0.555
971,0.540
972,0.525
973,0.535
974,0.525
975,0.515
976,0.500
977,0.480
978,0.485
979,0.475
980,0.475
981,0.455
982,0.435
983,0.435
984,0.450
985,0.455
986,0.445
987,0.440
988,0.440
989,0.450
990,0.485
991,0.485
992,0.475
993,0.450
994,0.450
995,0.455
996,0.510
997,0.665
998,0.985
999,1.440
1000,1.920
1001,2.315
1002,2.450
1003,2.265
1004,1.845
1005,1.405
1006,0.980
1007,0.680
1008,0.580
1009,0.535
1010,0.535
1011,0.525
1012,0.505
1013,0.490
1014,0.450
1015,0.460
1016,0.475
1017,0.465
1018,0.475
1019,0.475
1020,0.480
1021,0.465
1022,0.465
1023,0.465
1024,0.475
1025,0.475
1026,0.475
1027,0.475
1028,0.475
1029,0.480
1030,0.475
1031,0.485
1032,0.500
1033,0.505
1034,0.510
1035,0.510
1036,0.510
1037,0.490
1038,0.480
1039,0.480
1040,0.485
1041,0.495
1042,0.510
1043,0.520
1044,0.540
1045,0.540
1046,0.555
1047,0.570
1048,0.580
1049,0.575
1050,0.595
1051,0.610
1052,0.620
1053,0.645
1054,0.655
1055,0.660
1056,0.695
1057,0.680
1058,0.705
1059,0.715
1060,0.725
1061,0.760
1062,0.750
1063,0.765
1064,0.760
1065,0.775
1066,0.770
1067,0.775
1068,0.770
1069,0.745
1070,0.725
1071,0.705
1072,0.670
1073,0.660
1074,0.630
1075,0.605
1076,0.580
1077,0.560
1078,0.555
1079,0.540
1080,0.525
1081,0.510
1082,0.515
1083,0.505
1084,0.495
1085,0.485
1086,0.495
1087,0.485
1088,0.495
1089,0.495
1090,0.495
1091,0.490
1092,0.485
1093,0.485
1094,0.475
1095,0.480
1096,0.485
1097,0.480
1098,0.465
1099,0.485
1100,0.480
1101,0.480
1102,0.475
1103,0.450
1104,0.460
1105,0.455
1106,0.455
1107,0.455
1108,0.455
1109,0.450
1110,0.430
1111,0.435
1112,0.455
1113,0.475
1114,0.490
1115,0.490
1116,0.495
1117,0.490
1118,0.485
1119,0.475
1120,0.460
1121,0.465
1122,0.455
1123,0.465
1124,0.475
1125,0.475
1126,0.475
1127,0.475
1128,0.495
1129,0.490
1130,0.485
1131,0.495
1132,0.495
1133,0.490
1134,0.475
1135,0.465
1136,0.455
1137,0.435
1138,0.440
1139,0.430
1140,0.440
1141,0.445
1142,0.445
1143,0.450
1144,0.450
1145,0.425
1146,0.450
1147,0.445
1148,0.450
1149,0.450
1150,0.435
1151,0.450
1152,0.450
1153,0.455
1154,0.450
1155,0.450
1156,0.450
1157,0.450
1158,0.455
1159,0.450
1160,0.450
1161,0.445
1162,0.450
1163,0.455
1164,0.450
1165,0.445
1166,0.445
1167,0.440
1168,0.445
1169,0.445
1170,0.455
1171,0.450
1172,0.455
1173,0.465
1174,0.475
1175,0.465
1176,0.460
1177,0.450
1178,0.450
1179,0.445
1180,0.450
1181,0.450
1182,0.445
1183,0.450
1184,0.450
1185,0.450
1186,0.455
1187,0.435
1188,0.460
1189,0.455
1190,0.455
1191,0.465
1192,0.450
1193,0.475
1194,0.450
1195,0.435
1196,0.430
1197,0.425
1198,0.440
1199,0.450
1200,0.460
1201,0.455
1202,0.455
1203,0.460
1204,0.475
1205,0.465
1206,0.465
1207,0.465
1208,0.475
1209,0.475
1210,0.485
1211,0.480
1212,0.480
1213,0.495
1214,0.510
1215,0.525
1216,0.530
1217,0.520
1218,0.515
1219,0.525
1220,0.540
1221,0.570
1222,0.580
1223,0.580
1224,0.570
1225,0.545
1226,0.535
1227,0.530
1228,0.530
1229,0.500
1230,0.500
1231,0.500
1232,0.495
1233,0.485
1234,0.455
1235,0.475
1236,0.455
1237,0.450
1238,0.445
1239,0.445
1240,0.450
1241,0.445
1242,0.455
1243,0.455
1244,0.455
1245,0.465
1246,0.495
1247,0.495
1248,0.490
1249,0.485
1250,0.515
1251,0.660
1252,0.965
1253,1.390
1254,1.845
1255,2.195
1256,2.325
1257,2.170
1258,1.810
1259,1.360
1260,0.955
1261,0.680
1262,0.575
1263,0.560
1264,0.570
1265,0.565
1266,0.545
1267,0.535
1268,0.505
1269,0.495
1270,0.465
1271,0.475
1272,0.460
1273,0.455
1274,0.475
1275,0.465
1276,0.455
1277,0.485
1278,0.485
1279,0.480
1280,0.480
1281,0.475
1282,0.495
1283,0.490
1284,0.495
1285,0.495
1286,0.495
1287,0.500
1288,0.500
1289,0.505
1290,0.505
1291,0.510
1292,0.515
1293,0.520
1294,0.525
1295,0.535
1296,0.540
1297,0.555
1298,0.570
1299,0.560
1300,0.580
1301,0.585
1302,0.600
1303,0.605
1304,0.615
1305,0.645
1306,0.655
1307,0.665
1308,0.665
1309,0.675
1310,0.685
1311,0.700
1312,0.730
1313,0.745
1314,0.765
1315,0.780
1316,0.805
1317,0.810
1318,0.845
1319,0.830
1320,0.825
1321,0.815
1322,0.815
1323,0.820
1324,0.790
1325,0.765
1326,0.740
1327,0.710
1328,0.670
1329,0.645
1330,0.620
1331,0.620
1332,0.605
1333,0.600
1334,0.570
1335,0.560
1336,0.535
1337,0.510
1338,0.500
1339,0.500
1340,0.515
1341,0.505
1342,0.510
1343,0.515
1344,0.500
1345,0.495
1346,0.500
1347,0.495
1348,0.500
1349,0.495
1350,0.495
1351,0.495
1352,0.500
1353,0.500
1354,0.500
1355,0.495
1356,0.495
1357,0.490
1358,0.500
1359,0.495
1360,0.485
1361,0.490
1362,0.495
1363,0.490
1364,0.490
1365,0.475
1366,0.495
1367,0.495
1368,0.495
1369,0.485
1370,0.490
1371,0.495
1372,0.495
1373,0.495
1374,0.490
1375,0.485
1376,0.495
1377,0.490
1378,0.500
1379,0.495
1380,0.500
1381,0.500
1382,0.495
1383,0.495
1384,0.495
1385,0.500
1386,0.500
1387,0.510
1388,0.515
1389,0.515
1390,0.510
1391,0.510
1392,0.495
1393,0.495
1394,0.495
1395,0.485
1396,0.485
1397,0.475
1398,0.460
1399,0.475
1400,0.485
1401,0.480
1402,0.485
1403,0.485
1404,0.485
1405,0.480
1406,0.485
1407,0.455
1408,0.485
1409,0.480
1410,0.490
1411,0.485
1412,0.465
1413,0.485
1414,0.490
1415,0.485
1416,0.495
1417,0.495
1418,0.490
1419,0.490
1420,0.495
1421,0.495
1422,0.490
1423,0.495
1424,0.495
1425,0.495
1426,0.495
1427,0.495
1428,0.485
1429,0.465
1430,0.450
1431,0.450
1432,0.465
1433,0.475
1434,0.485
1435,0.495
1436,0.490
1437,0.490
1438,0.490
1439,0.490
1440,0.495
1441,0.490
1442,0.495
1443,0.495
1444,0.495
1445,0.485
1446,0.490
1447,0.500
1448,0.495
1449,0.475
1450,0.495
1451,0.495
1452,0.495
1453,0.500
1454,0.495
1455,0.525
1456,0.545
1457,0.565
1458,0.575
1459,0.585
1460,0.575
1461,0.565
1462,0.560
1463,0.570
1464,0.580
1465,0.575
1466,0.580
1467,0.570
1468,0.570
1469,0.560
1470,0.560
1471,0.555
1472,0.545
1473,0.540
1474,0.525
1475,0.515
1476,0.515
1477,0.500
1478,0.495
1479,0.485
1480,0.485
1481,0.475
1482,0.490
1483,0.495
1484,0.500
1485,0.500
1486,0.500
1487,0.500
1488,0.505
1489,0.505
1490,0.515
1491,0.500
1492,0.515
1493,0.610
1494,0.850
1495,1.245
1496,1.735
1497,2.180
1498,2.480
1499,2.495
1500,2.225
1501,1.790
1502,1.325
1503,0.920
1504,0.685
1505,0.595
1506,0.575
1507,0.570
1508,0.570
1509,0.540
1510,0.530
1511,0.525
1512,0.510
1513,0.500
1514,0.500
1515,0.510
1516,0.515
1517,0.505
1518,0.515
1519,0.510
1520,0.515
1521,0.515
1522,0.515
1523,0.525
1524,0.520
1525,0.515
1526,0.525
1527,0.525
1528,0.525
1529,0.535
1530,0.555
1531,0.555
1532,0.555
1533,0.560
1534,0.555
1535,0.555
1536,0.560
1537,0.565
1538,0.555
1539,0.580
1540,0.585
1541,0.590
1542,0.610
1543,0.625
1544,0.620
1545,0.625
1546,0.640
1547,0.655
1548,0.665
1549,0.680
1550,0.705
1551,0.715
1552,0.730
1553,0.745
1554,0.765
1555,0.780
1556,0.790
1557,0.810
1558,0.810
1559,0.830
1560,0.835
1561,0.830
1562,0.830
1563,0.830
1564,0.835
1565,0.820
1566,0.810
1567,0.775
1568,0.755
1569,0.735
1570,0.725
1571,0.695
1572,0.685
1573,0.655
1574,0.640
1575,0.620
1576,0.600
1577,0.585
1578,0.570
1579,0.565
1580,0.540
1581,0.560
1582,0.560
1583,0.560
1584,0.570
1585,0.530
1586,0.545
1587,0.555
1588,0.555
1589,0.545
1590,0.540
1591,0.560
1592,0.545
1593,0.540
1594,0.555
1595,0.540
1596,0.540
1597,0.535
1598,0.535
1599,0.535
1600,0.535
1601,0.530
1602,0.540
1603,0.555
1604,0.545
1605,0.540
1606,0.535
1607,0.535
1608,0.530
1609,0.535
1610,0.525
1611,0.525
1612,0.500
1613,0.520
1614,0.525
1615,0.535
1616,0.535
1617,0.535
1618,0.555
1619,0.540
1620,0.540
1621,0.530
1622,0.540
1623,0.535
1624,0.535
1625,0.540
1626,0.535
1627,0.520
1628,0.535
1629,0.540
1630,0.540
1631,0.535
1632,0.515
1633,0.530
1634,0.540
1635,0.540
1636,0.535
1637,0.535
1638,0.535
1639,0.530
1640,0.535
1641,0.535
1642,0.525
1643,0.530
1644,0.540
1645,0.535
1646,0.535
1647,0.530
1648,0.520
1649,0.515
1650,0.525
1651,0.515
1652,0.515
1653,0.515
1654,0.515
1655,0.515
1656,0.520
1657,0.515
1658,0.515
1659,0.515
1660,0.520
1661,0.510
1662,0.515
1663,0.520
1664,0.525
1665,0.520
1666,0.515
1667,0.525
1668,0.520
1669,0.510
1670,0.530
1671,0.525
1672,0.540
1673,0.530
1674,0.520
1675,0.535
1676,0.525
1677,0.530
1678,0.525
1679,0.520
1680,0.525
1681,0.525
1682,0.525
1683,0.525
1684,0.520
1685,0.520
1686,0.525
1687,0.535
1688,0.530
1689,0.530
1690,0.535
1691,0.535
1692,0.535
1693,0.540
1694,0.545
1695,0.560
1696,0.540
1697,0.540
1698,0.530
1699,0.525
1700,0.520
1701,0.515
1702,0.525
1703,0.525
1704,0.530
1705,0.520
1706,0.530
1707,0.535
1708,0.535
1709,0.535
1710,0.530
1711,0.515
1712,0.535
1713,0.540
1714,0.545
1715,0.560
1716,0.560
1717,0.580
1718,0.595
1719,0.585
1720,0.580
1721,0.595
1722,0.600
1723,0.620
1724,0.645
1725,0.645
1726,0.630
1727,0.620
1728,0.625
1729,0.610
1730,0.595
1731,0.590
1732,0.595
1733,0.580
1734,0.570
1735,0.540
1736,0.535
1737,0.525
1738,0.515
1739,0.515
1740,0.515
1741,0.530
1742,0.525
